蟠天际地,pán tiān jì dì,谓从天到地无所不在。亦用以形容气势博大。语本《庄子·刻意》：“精神四達並流，無所不極，上際於天，下蟠於地。” 成玄英 疏：“下蟠薄於厚地，上際逮於玄天。” 清 王夫之 《读四书大全说·论语·卫灵公篇十七》：“豈如 雙峰 （ 饒泰 ）所云‘蟠天際地，何待人弘’也哉？” 清 龚自珍 《京师春尽夕吴舍人》诗：“蟠天際地能幾時，萬恨沈埋向誰咎？”亦省作“ 蟠際 ”。 元 柳贯 《过大野泽》诗：“渟涵就深廣，蟠際渺西東。”,,,,,,,,,,,,,,,,,,,,,,,
蟠根错节,pán gēn cuò jié,犹言盘根错节。树木根节盘绕交错。比喻事情繁难复杂。 清 黄宗羲 《赠编修弁玉吴君墓志铭》：“然君以爲章句細微，無關重輕，所貴乎學者，必當爲世所倚仗，蟠根錯節，取定俄頃。”参见“ 盤根錯節 ”。,,,,,,,,,,,,,,,,,,,,,,,
蟠木朽株,pán mù xiǔ zhū,盘曲之木，朽烂之根。比喻无用之材。株，树根。 唐 骆宾王 《上李少常伯启》：“ 賓王 蟠木朽株，散樗賤質，牆面難用，灰心易寒。”参见“ 蟠木 ”。,,,,,,,,,,,,,,,,,,,,,,,
蟠屈缭纠,pán qū liáo jiū,弯曲缠绕。 梁启超 《中国积弱溯源论》第三节：“不見夫花匠乎？以松柏之健勁，而能蟠屈繚糾之，使如盤、如梯、如牖、如立人、如卧獸、如蟠蛇，何也？自其勾萌莖達之時而戕賊之也。”,,,,,,,,,,,,,,,,,,,,,,,
蟠委错紾,pán wěi cuò tiǎn,回旋展转，无上下左右之状。《淮南子·原道训》：“無所左而無所右，蟠委錯紾，與萬物始終。” 高诱 注：“紾，轉也。”,,,,,,,,,,,,,,,,,,,,,,,
蟠结根据,pán jié gēn jù,盘据勾结。《资治通鉴·唐代宗大历十四年》：“由是以天下公賦爲人君私藏，有司不復得窺其多少，校其贏縮，殆二十年。宦官領其事者三百餘員，皆蠶食其中，蟠結根據，牢不可動。”,,,,,,,,,,,,,,,,,,,,,,,
蟠据固结,pán jù gù jié,谓牢牢地盘踞。 郑观应 《盛世危言·技艺》：“我 中國 人士于名利二字蟠據固結于胸懷間，終其身不可解，積習相沿，牢不可破。”,,,,,,,,,,,,,,,,,,,,,,,
哀莫大于心死,āi mò dà yú xīn sǐ,心死：指心像死灰的灰烬。指最可悲哀的事，莫过于思想顽钝，麻木不仁。,,,,,,,,,,,,,,,,,,,,,,,
哀鸿遍野,āi hóng biàn yě,哀鸿：哀鸣的鸿雁。比喻啼饥号寒的灾民。比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民。,,,,,,,,,,,,,,,,,,,,,,,
哀而不伤,āi ér bù shāng,哀：悲哀；伤：伤害。忧愁而不悲伤，形容感情有节制；另形容诗歌、音乐优美雅致，感情适度。比喻做事没有过头也无不及。,,,,,,,,,,,,,,,,,,,,,,,
哀兵必胜,āi bīng bì shèng,原意是力量相当的两军对阵，悲愤的一方获得胜利。后指因受欺侮而奋起抵抗的军队，必定能取胜。,,,,,,,,,,,,,,,,,,,,,,,
哀声叹气,āi shēng tàn qì,因伤感郁闷或悲痛而发出叹息的声音。,,,,,,,,,,,,,,,,,,,,,,,
